pulau_kota,kategori,nama_perumahan,latitude,longitude,link_gmaps
Medan,Subsidi,Perumahan durung asri,3.7050927,98.6291588,https://www.google.com/maps/place/Perumahan+durung+asri/data=!4m7!3m6!1s0x3036d34a7f7ad1f7:0x535066f239a8f443!8m2!3d3.7050927!4d98.6291588!16s%2Fg%2F11r2yqpq08!19sChIJ99F6f0rTNjARQ_SoOfJmUFM?authuser=0&hl=id&rclk=1
Medan,Subsidi,PERUMAHAN ALAM PATUMBAK PERMAI,3.5053497,98.7125646,https://www.google.com/maps/place/PERUMAHAN+ALAM+PATUMBAK+PERMAI/data=!4m7!3m6!1s0x30313a519bfb8ad9:0x30faa1577471d977!8m2!3d3.5053497!4d98.7125646!16s%2Fg%2F11c6qcwp0d!19sChIJ2Yr7m1E6MTARd9lxdFeh-jA?authuser=0&hl=id&rclk=1
Medan,Subsidi,Griya Sirsak Mencirim,3.5518205,98.5451132,https://www.google.com/maps/place/Griya+Sirsak+Mencirim/data=!4m7!3m6!1s0x30312899e51ea35f:0x6da5577e1e32279c!8m2!3d3.5518205!4d98.5451132!16s%2Fg%2F11f1005lb2!19sChIJX6Me5ZkoMTARnCcyHn5XpW0?authuser=0&hl=id&rclk=1
Medan,Subsidi,Griya Manggusta Asri,3.5173192,98.5452558,https://www.google.com/maps/place/Griya+Manggusta+Asri/data=!4m7!3m6!1s0x303126415d5827db:0x7e05e1d8dd9301ed!8m2!3d3.5173192!4d98.5452558!16s%2Fg%2F11c2p1xjd3!19sChIJ2ydYXUEmMTAR7QGT3djhBX4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Asri Indah Suka Maju,3.5323903,98.5644996,https://www.google.com/maps/place/Perumahan+Asri+Indah+Suka+Maju/data=!4m7!3m6!1s0x30312750a24c8873:0x33a6913d07ac3fc2!8m2!3d3.5323903!4d98.5644996!16s%2Fg%2F11lm3xkh_t!19sChIJc4hMolAnMTARwj-sBz2RpjM?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Griya Sakinah Asri-1,3.6988704,98.6419041,https://www.google.com/maps/place/Perumahan+Griya+Sakinah+Asri-1/data=!4m7!3m6!1s0x30312d4b1aa0828b:0x445592ecf3c6283f!8m2!3d3.6988704!4d98.6419041!16s%2Fg%2F11bxc5x6qy!19sChIJi4KgGkstMTARPyjG8-ySVUQ?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan subsidi Royale mutiara,3.565811,98.600296,https://www.google.com/maps/place/Perumahan+subsidi+Royale+mutiara/data=!4m7!3m6!1s0x30312f5ea6b834cf:0x1e8c2d6575d607bc!8m2!3d3.565811!4d98.600296!16s%2Fg%2F11vy_812m7!19sChIJzzS4pl4vMTARvAfWdWUtjB4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Topaz Residence,3.5013129,98.6117574,https://www.google.com/maps/place/Topaz+Residence/data=!4m7!3m6!1s0x30312511aed80db3:0x31fa321fb0efd5d2!8m2!3d3.5013129!4d98.6117574!16s%2Fg%2F11jdr15yc2!19sChIJsw3YrhElMTAR0tXvsB8y-jE?authuser=0&hl=id&rclk=1
Medan,Subsidi,GRAND MUTIARA KLAMBIR LIMA,3.658306,98.59325,https://www.google.com/maps/place/GRAND+MUTIARA+KLAMBIR+LIMA/data=!4m7!3m6!1s0x30312d89c9c3628f:0x37c87b12fba53171!8m2!3d3.658306!4d98.59325!16s%2Fg%2F11kq0wj91p!19sChIJj2LDyYktMTARcTGl-xJ7yDc?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Marelan Asri,3.69218,98.6463216,https://www.google.com/maps/place/Perumahan+Marelan+Asri/data=!4m7!3m6!1s0x30312d1d6f051827:0xac1a05f0868bb6c8!8m2!3d3.69218!4d98.6463216!16s%2Fg%2F11vj6zcv96!19sChIJJxgFbx0tMTARyLaLhvAFGqw?authuser=0&hl=id&rclk=1
Medan,Subsidi,Karya Jaya Village,3.519793,98.6767799,https://www.google.com/maps/place/Karya+Jaya+Village/data=!4m7!3m6!1s0x30313b1d3690069d:0xd3b29250288b5fc3!8m2!3d3.519793!4d98.6767799!16s%2Fg%2F11jm9y7jnq!19sChIJnQaQNh07MTARw1-LKFCSstM?authuser=0&hl=id&rclk=1
Medan,Subsidi,Medan Resort City,3.5110966,98.6755253,https://www.google.com/maps/place/Medan+Resort+City/data=!4m7!3m6!1s0x30313ac4ecf63db5:0x932f96d305e9ecd!8m2!3d3.5110966!4d98.6755253!16s%2Fg%2F11c2ly28t1!19sChIJtT327MQ6MTARzZ5eMG35Mgk?authuser=0&hl=id&rclk=1
Medan,Subsidi,Patumbak,3.4890874,98.7135465,https://www.google.com/maps/place/Patumbak/data=!4m7!3m6!1s0x30313b029bbbf0fb:0x79363abcc88e890!8m2!3d3.4890874!4d98.7135465!16s%2Fg%2F11kj1crfvh!19sChIJ-_C7mwI7MTARkOiIzKtjkwc?authuser=0&hl=id&rclk=1
Medan,Subsidi,Savana STM Regency,3.5448287,98.6970093,https://www.google.com/maps/place/Savana+STM+Regency/data=!4m7!3m6!1s0x3031307966bfead3:0xd8416a458df57049!8m2!3d3.5448287!4d98.6970093!16s%2Fg%2F11ggsm7j88!19sChIJ0-q_ZnkwMTARSXD1jUVqQdg?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Citra Sembada,3.5473291,98.6439533,https://www.google.com/maps/place/Perumahan+Citra+Sembada/data=!4m7!3m6!1s0x30312f054da0d0d3:0xde622cbf08615738!8m2!3d3.5473291!4d98.6439533!16s%2Fg%2F11fvjngpfc!19sChIJ09CgTQUvMTAROFdhCL8sYt4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Givency One,3.6089069,98.6171026,https://www.google.com/maps/place/Givency+One/data=!4m7!3m6!1s0x30312e617cc8aa73:0x66deca9495c6ff2f!8m2!3d3.6089069!4d98.6171026!16s%2Fg%2F11cnwlp50g!19sChIJc6rIfGEuMTARL__GlZTK3mY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Puri Asri Taramedang Residence Blok G 63 E,3.5046797,98.7347176,https://www.google.com/maps/place/Perumahan+Puri+Asri+Taramedang+Residence+Blok+G+63+E/data=!4m7!3m6!1s0x30313a2de5ccdf03:0xcf0ed12363657ae7!8m2!3d3.5046797!4d98.7347176!16s%2Fg%2F11bvt5zgbj!19sChIJA9_M5S06MTAR53plYyPRDs8?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumnas Helvetia,3.6144264,98.6348121,https://www.google.com/maps/place/Perumnas+Helvetia/data=!4m7!3m6!1s0x30312e72f8f1f1a3:0x973f9015035b0476!8m2!3d3.6144264!4d98.6348121!16s%2Fg%2F1hc41f_n6!19sChIJo_Hx-HIuMTARdgRbAxWQP5c?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan tata alam asri,3.6094113,98.621759,https://www.google.com/maps/place/Perumahan+tata+alam+asri/data=!4m7!3m6!1s0x30312f3924f5ef2d:0x22b72ce944dc97a6!8m2!3d3.6094113!4d98.621759!16s%2Fg%2F11mnn7kv63!19sChIJLe_1JDkvMTARppfcROkstyI?authuser=0&hl=id&rclk=1
Medan,Subsidi,Pancing,3.6058592,98.7006379,https://www.google.com/maps/place/Pancing/data=!4m7!3m6!1s0x30313171de4e9f91:0x59ff5626f8608f51!8m2!3d3.6058592!4d98.7006379!16s%2Fg%2F11t3_3_ylw!19sChIJkZ9O3nExMTARUY9g-CZW_1k?authuser=0&hl=id&rclk=1
Medan,Subsidi,Savana Lau Dendang Tahap 2 Blok A5,3.6190796,98.7385496,https://www.google.com/maps/place/Savana+Lau+Dendang+Tahap+2+Blok+A5/data=!4m7!3m6!1s0x30313157ea729555:0xa87b437905261506!8m2!3d3.6190796!4d98.7385496!16s%2Fg%2F11g9g3kkwj!19sChIJVZVy6lcxMTARBhUmBXlDe6g?authuser=0&hl=id&rclk=1
